2023-10-22 02:49:40 - CPU Usage: 0.0%, Memory Usage: 6.7%
2023-10-22 02:52:41 - CPU Usage: 0.0%, Memory Usage: 6.7%
2023-10-22 02:55:41 - CPU Usage: 13.3%, Memory Usage: 6.7%
2023-10-22 02:58:41 - CPU Usage: 6.7%, Memory Usage: 6.8%
2023-10-22 03:01:42 - CPU Usage: 0.0%, Memory Usage: 6.8%
2023-10-22 03:04:42 - CPU Usage: 0.0%, Memory Usage: 6.8%
2023-10-22 03:07:42 - CPU Usage: 0.0%, Memory Usage: 6.8%
2023-10-22 03:10:43 - CPU Usage: 0.0%, Memory Usage: 6.8%
2023-10-22 03:13:43 - CPU Usage: 0.0%, Memory Usage: 6.8%
2023-10-22 03:16:43 - CPU Usage: 0.0%, Memory Usage: 6.8%
2023-10-22 03:19:44 - CPU Usage: 0.0%, Memory Usage: 6.8%
2023-10-22 03:22:44 - CPU Usage: 0.0%, Memory Usage: 6.8%
2023-10-22 03:25:44 - CPU Usage: 0.0%, Memory Usage: 6.8%
2023-10-22 03:28:45 - CPU Usage: 0.0%, Memory Usage: 6.8%
2023-10-22 03:31:45 - CPU Usage: 0.0%, Memory Usage: 6.8%
2023-10-22 03:34:45 - CPU Usage: 0.0%, Memory Usage: 6.8%
2023-10-22 03:37:46 - CPU Usage: 0.0%, Memory Usage: 6.8%
2023-10-22 03:40:46 - CPU Usage: 6.7%, Memory Usage: 6.8%
2023-10-22 03:43:46 - CPU Usage: 0.0%, Memory Usage: 6.8%
2023-10-22 03:46:47 - CPU Usage: 0.0%, Memory Usage: 6.8%
2023-10-22 03:49:47 - CPU Usage: 0.0%, Memory Usage: 6.8%
2023-10-22 03:52:47 - CPU Usage: 0.0%, Memory Usage: 6.8%
2023-10-22 03:55:48 - CPU Usage: 0.0%, Memory Usage: 6.8%
2023-10-22 03:58:48 - CPU Usage: 0.0%, Memory Usage: 6.8%
2023-10-22 04:01:48 - CPU Usage: 6.7%, Memory Usage: 6.8%
2023-10-22 04:04:48 - CPU Usage: 6.7%, Memory Usage: 6.9%
2023-10-22 04:07:49 - CPU Usage: 0.0%, Memory Usage: 6.9%
2023-10-22 04:10:49 - CPU Usage: 0.0%, Memory Usage: 6.9%
2023-10-22 04:13:49 - CPU Usage: 0.0%, Memory Usage: 6.9%
2023-10-22 04:16:50 - CPU Usage: 0.0%, Memory Usage: 6.9%
2023-10-22 04:19:50 - CPU Usage: 6.7%, Memory Usage: 6.9%
2023-10-22 04:22:50 - CPU Usage: 0.0%, Memory Usage: 6.9%
2023-10-22 04:25:51 - CPU Usage: 0.0%, Memory Usage: 6.9%
2023-10-22 04:28:51 - CPU Usage: 0.0%, Memory Usage: 6.9%
2023-10-22 04:31:51 - CPU Usage: 0.0%, Memory Usage: 6.9%
2023-10-22 04:34:52 - CPU Usage: 0.0%, Memory Usage: 6.9%
2023-10-22 04:37:52 - CPU Usage: 0.0%, Memory Usage: 6.9%
2023-10-22 04:40:52 - CPU Usage: 0.0%, Memory Usage: 6.9%
2023-10-22 04:43:53 - CPU Usage: 0.0%, Memory Usage: 6.9%
2023-10-22 04:46:53 - CPU Usage: 0.0%, Memory Usage: 6.9%
2023-10-22 04:49:53 - CPU Usage: 0.0%, Memory Usage: 6.9%
2023-10-22 04:52:54 - CPU Usage: 0.0%, Memory Usage: 6.9%
2023-10-22 04:55:54 - CPU Usage: 0.0%, Memory Usage: 6.9%
2023-10-22 04:58:54 - CPU Usage: 0.0%, Memory Usage: 6.9%
2023-10-22 05:01:55 - CPU Usage: 0.0%, Memory Usage: 6.9%
2023-10-22 05:04:55 - CPU Usage: 0.0%, Memory Usage: 6.9%
2023-10-22 05:07:55 - CPU Usage: 0.0%, Memory Usage: 6.9%
2023-10-22 05:10:56 - CPU Usage: 0.0%, Memory Usage: 7.0%
2023-10-22 05:13:56 - CPU Usage: 0.0%, Memory Usage: 7.0%
2023-10-22 05:16:56 - CPU Usage: 0.0%, Memory Usage: 7.0%
2023-10-22 05:19:56 - CPU Usage: 0.0%, Memory Usage: 7.0%
2023-10-22 05:22:57 - CPU Usage: 0.0%, Memory Usage: 7.0%
2023-10-22 05:25:57 - CPU Usage: 0.0%, Memory Usage: 7.0%
2023-10-22 05:28:57 - CPU Usage: 0.0%, Memory Usage: 7.0%
2023-10-22 05:31:58 - CPU Usage: 0.0%, Memory Usage: 7.0%
2023-10-22 05:34:58 - CPU Usage: 0.0%, Memory Usage: 7.0%
2023-10-22 05:37:58 - CPU Usage: 0.0%, Memory Usage: 7.0%
2023-10-22 05:40:59 - CPU Usage: 0.0%, Memory Usage: 7.0%
2023-10-22 05:43:59 - CPU Usage: 0.0%, Memory Usage: 7.0%
2023-10-22 05:46:59 - CPU Usage: 0.0%, Memory Usage: 7.0%
2023-10-22 05:50:00 - CPU Usage: 0.0%, Memory Usage: 7.0%
